Month,Product Name,Quantity Sold,Revenue,Cost,Profit,Category,Location
Jan,Classic Vanilla Popsicle,450,67500,40500,27000,Classic,Trichy
Jan,Strawberry Delight,380,57000,34200,22800,Classic,Trichy
Jan,Chocolate Fudge Bar,420,84000,50400,33600,Premium,Karur
Jan,Mango Tango,520,78000,46800,31200,Classic,Bangalore
Jan,Mint Chocolate Chip,310,62000,37200,24800,Premium,Mumbai
Jan,Coconut Cream,290,58000,34800,23200,Premium,Coimbatore
Feb,Classic Vanilla Popsicle,480,72000,43200,28800,Classic,Trichy
Feb,Strawberry Delight,410,61500,36900,24600,Classic,Trichy
Feb,Chocolate Fudge Bar,450,90000,54000,36000,Premium,Karur
Feb,Mango Tango,550,82500,49500,33000,Classic,Bangalore
Feb,Mint Chocolate Chip,340,68000,40800,27200,Premium,Mumbai
Feb,Coconut Cream,320,64000,38400,25600,Premium,Coimbatore
Feb,Berry Blast,280,56000,33600,22400,Specialty,Namakkal
Mar,Classic Vanilla Popsicle,440,66000,39600,26400,Classic,Trichy
Mar,Strawberry Delight,390,58500,35100,23400,Classic,Trichy
Mar,Chocolate Fudge Bar,430,86000,51600,34400,Premium,Karur
Mar,Mango Tango,510,76500,45900,30600,Classic,Bangalore
Mar,Mint Chocolate Chip,320,64000,38400,25600,Premium,Mumbai
Mar,Coconut Cream,300,60000,36000,24000,Premium,Coimbatore
Mar,Berry Blast,290,58000,34800,23200,Specialty,Namakkal
Mar,Lemon Sorbet,350,52500,31500,21000,Fruit,Ongole
Apr,Classic Vanilla Popsicle,520,78000,46800,31200,Classic,Trichy
Apr,Strawberry Delight,450,67500,40500,27000,Classic,Trichy
Apr,Chocolate Fudge Bar,490,98000,58800,39200,Premium,Karur
Apr,Mango Tango,610,91500,54900,36600,Classic,Bangalore
Apr,Mint Chocolate Chip,370,74000,44400,29600,Premium,Mumbai
Apr,Coconut Cream,340,68000,40800,27200,Premium,Coimbatore
Apr,Berry Blast,320,64000,38400,25600,Specialty,Namakkal
Apr,Lemon Sorbet,380,57000,34200,22800,Fruit,Ongole
Apr,Watermelon Wave,290,43500,26100,17400,Fruit,Tenali
May,Classic Vanilla Popsicle,500,75000,45000,30000,Classic,Trichy
May,Strawberry Delight,430,64500,38700,25800,Classic,Trichy
May,Chocolate Fudge Bar,470,94000,56400,37600,Premium,Karur
May,Mango Tango,590,88500,53100,35400,Classic,Bangalore
May,Mint Chocolate Chip,360,72000,43200,28800,Premium,Mumbai
May,Coconut Cream,330,66000,39600,26400,Premium,Coimbatore
May,Berry Blast,310,62000,37200,24800,Specialty,Namakkal
May,Lemon Sorbet,370,55500,33300,22200,Fruit,Ongole
May,Watermelon Wave,300,45000,27000,18000,Fruit,Tenali
May,Pineapple Paradise,260,52000,31200,20800,Premium,Trichy
Jun,Classic Vanilla Popsicle,580,87000,52200,34800,Classic,Trichy
Jun,Strawberry Delight,490,73500,44100,29400,Classic,Trichy
